Rank,LW,Release,Gross,per_plus_min,Theaters,Change,Average,TotalGross,Weeks,Distributor
1.00,-,Black Adam,67004323.00,-,4402.00,-,15221.00,67004323.00,1.00,Warner Bros.
2.00,-,Ticket to Paradise,16509095.00,-,3543.00,-,4659.00,16509095.00,1.00,Universal Pictures
3.00,2.00,Smile,8472322.00,-0.33,3296.00,-316.00,2570.00,84432083.00,4.00,Paramount Pictures
4.00,1.00,Halloween Ends,8000510.00,-0.80,3901.00,-,2050.00,54177950.00,2.00,Universal Pictures
5.00,3.00,"Lyle, Lyle, Crocodile",4251217.00,-0.42,3536.00,-814.00,1202.00,28764068.00,3.00,Sony Pictures Entertainment (SPE)
6.00,4.00,The Woman King,1877372.00,-0.49,1858.00,-707.00,1010.00,62833460.00,6.00,TriStar Pictures
7.00,8.00,Terrifier 2,1756000.00,0.70,755.00,55.00,2325.00,5116500.00,3.00,Cinedigm Entertainment Group
8.00,6.00,Don't Worry Darling,867750.00,-0.61,1306.00,-1428.00,664.00,44260372.00,5.00,Warner Bros.
9.00,5.00,Amsterdam,824676.00,-0.70,1750.00,-1255.00,471.00,13930241.00,3.00,Walt Disney Studios Motion Pictures
10.00,14.00,Triangle of Sadness,601052.00,0.80,280.00,249.00,2146.00,1420927.00,3.00,Neon
11.00,7.00,Barbarian,558827.00,-0.59,785.00,-1020.00,711.00,40116014.00,7.00,20th Century Studios
12.00,15.00,Tár,500035.00,0.52,141.00,105.00,3546.00,1205316.00,3.00,Focus Features
13.00,18.00,Till,363541.00,0.50,104.00,88.00,3495.00,653907.00,2.00,United Artists Releasing
14.00,23.00,Decision to Leave,296436.00,2.08,48.00,45.00,6175.00,437116.00,2.00,MUBI
15.00,10.00,Top Gun: Maverick,290707.00,-0.58,691.00,-211.00,420.00,716320609.00,22.00,Paramount Pictures
16.00,11.00,Minions: The Rise of Gru,225320.00,-0.48,765.00,-450.00,294.00,368783940.00,17.00,Universal Pictures
17.00,9.00,Bros,212495.00,-0.77,632.00,-1569.00,336.00,11473560.00,4.00,Universal Pictures
18.00,-,The Banshees of Inisherin,184454.00,-,4.00,-,46113.00,184454.00,1.00,Searchlight Pictures
19.00,19.00,Clerks III,147132.00,-0.21,-,-,-,3738854.00,6.00,Fathom Events
20,-,Paul's Promise,140372.00,-,396.00,-,354.00,140372.00,1.00,Integrity Releasing